Digi-Key Part Number,Quantity 1,Customer Reference
587-1227-1-ND,6,100nf
445-7482-1-ND,2,4.7uF
490-3340-1-ND,2,10 uF
490-6196-1-ND,2,12pF ±5%
490-1320-1-ND ,1,1uF
296-38560-1-ND,1,CC1110
MCP73831T-2DCI/OTCT-ND,1,Li-Ion
712-1541-1-ND ,1,Balun
455-1749-1-ND,1,JST Conn
445-1015-1-ND,1,INDUCTOR 120NH 300MA 5% 1300MHZ
511-1299-1-ND,2,Green Led
LNJ937W8CRACT-ND,2,Blue Led
160-1447-1-ND,1,Red Led
401-2016-1-ND,1,SLIDE_SWITCH_SMD
311-2.0KJRCT-ND ,1,2Kohm 0402
311-330JRCT-ND ,1,330 Ohm 0402
311-56.0KLRCT-ND ,1,56kOhm ± 1% 0402
311-470LRCT-ND,4,470 ohms 0402
311-0.0JRCT-ND ,2,0 Ohm Jumper
296-23904-1-ND,1,REGULATOR
EG4620CT-ND ,1,TACTILE_SWITCH  
1446-1035-1-ND,1,BLE113-A 
644-1052-1-ND,1,Crystal 24MHz 8pF 10ppm -20C +70C
H2959CT-ND,1,MINI-USB-UX60-MB-5ST
609-3695-1-ND ,2,CONN HEADER 10POS DL UNSHRD SMD
