Part,Description,Digi-Key Part Number
ANT1,Antenna 916MHZ,ANT-916-JJB-RA-ND
BLE113-DEBUG,CC-Debugger Header,609-3695-1-ND
C1,0.10µF ±10% 10V X5R Capacitor 0402,587-1227-1-ND
C2,4.7µF ±10% 10V X5R Capacitor 0603,445-7482-1-ND
C3,4.7µF ±10% 10V X5R Capacitor 0603,445-7482-1-ND
C4,"10µF ±10% 6.3V X5R Capacitor 0805",490-3340-1-ND
C5,"12pF ±1% 50V C0G, NP0 Capacitor 0402",490-6196-1-ND
C6,"12pF ±1% 50V C0G, NP0 Capacitor 0402",490-6196-1-ND
C7,0.10µF ±10% 10V X5R Capacitor 0402,587-1227-1-ND
C8,0.10µF ±10% 10V X5R Capacitor 0402,587-1227-1-ND
C9,1µF ±10% 6.3V X5R Capacitor 0402,490-1320-1-ND
C10,0.10µF ±10% 10V X5R Capacitor 0402,587-1227-1-ND
C11,"10µF ±10% 6.3V X5R Capacitor 0805",490-3340-1-ND
C12,0.10µF ±10% 10V X5R Capacitor 0402,587-1227-1-ND
C13,0.10µF ±10% 10V X5R Capacitor 0402,587-1227-1-ND
C14,4.7µF ±10% 10V X5R Capacitor 0603,445-7482-1-ND
CC1110,CC1110 SOC RF Transceiver,296-38560-1-ND
CC1110-DEBUG,CC-Debugger Header,609-3695-1-ND
IC1,915 MHz Impedance Matched Balun-Filter,712-1541-1-ND
JP1,2 Positions JST Header 2mm,455-1749-1-ND
L1,2.2µH Shielded Wirewound Inductor 1.46A,490-5344-1-ND
LED1,LED RED CLEAR 0603 SMD,160-1447-1-ND
LED2,LED BLUE 0603 SMD,LNJ937W8CRACT-ND
LED3,LED GREEN CLEAR 0603 SMD,511-1299-1-ND
LED4,LED GREEN CLEAR 0603 SMD,511-1299-1-ND
LED5,LED BLUE 0603 SMD,LNJ937W8CRACT-ND
PWR,SWITCH SLIDE SPDT 300MA 6V,401-2016-1-ND
R1,"2k Ohm ±5% 0.063W, 1/16W Resistor 0402",311-2.0KJRCT-ND
R2,"330 Ohm ±5% 0.063W, 1/16W Resistor 0402",311-330JRCT-ND
R3,"56k Ohm ±1% 0.063W, 1/16W Resistor 0402",311-56.0KLRCT-ND
R7,"470 Ohm ±1% 0.063W, 1/16W Resistor 0402",311-470LRCT-ND
R9,"0.0 Ohm Jumper 0.063W, 1/16W Resistor 0402",311-0.0JRCT-ND
R11,"470 Ohm ±1% 0.063W, 1/16W Resistor 0402",311-470LRCT-ND
R12,"470 Ohm ±1% 0.063W, 1/16W Resistor 0402",311-470LRCT-ND
R13,"470 Ohm ±1% 0.063W, 1/16W Resistor 0402",311-470LRCT-ND
U1,L-ION Battery Management IC,MCP73831T-2DCI/OTCT-ND
VREG,3.3V Buck Converter 0.6A SOT23,LM3671MF-3.3/NOPBCT-ND
U3,Bluetooth Low Energy BLE113-A 256K,1446-1035-1-ND
X1,24MHz ±15ppm Crystal 8pF 50 Ohm,644-1052-1-ND
X3,USB - mini B USB 2.0 Receptacle Connector,H2959CT-ND
